Author,Authority,Category,Compatibility,Content_rating,Description,Detail,Developer_address,Developer_email,Developer_website,Icon,Installs,Item_name,Link,Package,Rating,Review_number,Size,Update,Version
Teamo LLC,,Dating,4.1 and up,Rated for 18+,"Dating for serious relationships: match, chat and meet people around the world!","Teamo is a unique dating app that helps you meet a man or a woman of your romantic dreams. ,❤️ Download and register the app for free.,❤️ See potential matches as soon as you complete your profile.,❤️ Choose qualities that are important to you.,❤️ Chat with single adults who suit you psychologically.,❤️ Give someone a chance by pressing “Maybe.”There is no rigid swiping “Like” and “Dislike” with Teamo. ,❤️ Meet new people – there are over 17 million members, and many of them are somewhere near you.,❤️ Get the help of our support any time you need it.,1.	Set up for a serious relationship? It’s easy to organize – Our site will find you a perfect match and help you take the first step to create a family.,2.	Want some easy flirt and nothing more? – Just browse through 1000s of singles to find the partner who wants the same.,3.	Looking for someone to go on a date or spend the Friday night? – Meet men or women on Teamo website who are ready for romantic dates and nice evenings.,No more random dates anymore! ,1.	Everyone who uses Teamo takes the online-testing.,2.	Answers to questions take only a couple of minutes.,3.	The testing measures the users’ personality traits and creates their psychological profiles.,4.	You get a list of people who match you. Under each photo, you see the percentage of your compatibility.,Choose qualities that are important to you:,●	age – maybe you are seeking a younger partner or interested in senior dating;,●	height and weight – curvy ones and BBW, for example;,●	location – if you are seeking someone nearby or want international relationships with some Asian girls or boys;,●	relationship status – single, married, or divorced parents;,●	profession, religion, education, income, and other options.,This means that you choose the best partner for your goals from those candidates around that you are compatible with. Guys from all over the world are waiting for you to chat online!,🌎 , – Fill out the questionnaire with a photo, indicate your city and search for local folks who are near you.,🤔 , – You can download the app and register for free. Premium account gives you more options: for example, write to everyone you like.,📲 , – 17 million users are registered in Teamo, among them, there are plenty of people from other countries.,⚠️ , – Teamo does not forget about the safety of its users: in a special anonymous chat, you can discuss all the tiny details of communication before the personal meeting.,💃 , – Anonymous dating is available to you: discuss your desires and passions with strangers, keeping incognito.,Fish for love using not only the heart but high technologies also. Registration and testing are all that is needed to meet your soul mate, new hot friend, significant other, future husband, or wife. Chatting with people who suit you psychologically can be your path to find true love.,The chance to start a serious relationship and even create a happy marriage in the future is already near – download the free Teamo app and get connected!,This time, start dating in a right way with Teamo!",,,https://teamo.date,https://play-lh.googleusercontent.com/1xndiaXaxbfTfFEtfYbmUHblrVnpWrQAHyGGMC2HlMikOVfgeWJ_XQzY6agkxljkpw=s180-rw,"1,000,000+",Teamo – best online dating app for singles nearby,https://play.google.com/store/apps/details?id=ru.teamo.teamoapp,ru.teamo.teamoapp,Rated 3.5 stars out of five stars,"9,050",23M,"May 1, 2021",2.20.1
4Enjoy Game,,Puzzle,4.4 and up,Rated for 3+,Build the zoo and rescue animals! A lot of unique levels!,"Help zookeeper Robert to repair the zoo. Collect and match fruits together to feed hungry animals. You will create a home for the lion, zebra, elephant and other animals. Will your pets be hungry in the zoo you build? Play match 3 levels to open new decors and areas. ,The zoo is located in a sweet place. There is a farm nearby and a great forest just outside of the zoo. There was also a fruit garden which once was a diamond of the zoo. The game has a complete simulator of the zoo and animals. After you have finished building of the area you will be able to interact with animals and world sim.,Tigers, zebras, hippopotamus and other animals will help you to build a new zoo during your saga. Rescue the animals and the zoo from the decline. Turn the zoo into the diamond. The zoo and garden has a lot of activities. Plant new trees, choose a decor garden.,The game has a lot of levels. Match the sweet fruits and create bomb exposition. Feed the hungry pets with all the tasty and eco berries, fruits and vegetables. Maybe animals like more cookies and fruit jelly? The tricky monkey will try to steal the keys. Stop the animal with jam, fruits or juice. ,Invite your friends to join the adventure. Decorate the zoo faster with the help of friends. Enjoy the zoo saga together with friends.,How will the zoo you build look? Like a farm or like a forest? Will be pets and animals hungry or happy? Do you have mania to rescue the zoo and animals? Start building your dream zoo now! The zoo needs an rescue!,Fresh Features,- 100% organic fruits!,- Simulator of a real zoo!,- Choose a decor while building zoo,- Compete with friends during adventure!,Rescue animals in the zoo!",,,https://4enjoy.com/,https://play-lh.googleusercontent.com/hf-ZLeKmrsQhB_ak2-scAGGPkPnzXBwZP7vzkEp757nnsemxLs9W9pWoE3qAuLJFi9Jr=s180-rw,"1,000,000+",Zoo Rescue: Match 3 & Animals,https://play.google.com/store/apps/details?id=zoo.rescue,zoo.rescue,Rated 4.3 stars out of five stars,"40,758",Varies with device,"March 26, 2021",Varies with device
Elad Elram,,Food & Drink,4.1 and up,Rated for 3+,"Convert gram to cup, ml to cup, ounce to cup. Choose ingredient and convert","bConverter design to simply convert weight or volume to a measure tool:, - Convert ingredients from gram to cup, spoon or teaspoon, - Convert ingredients from ounce to cup, spoon or teaspoon, - Convert ml to cup, spoon or teaspoon, - Convert fl ounce to cup, spoon or teaspoon, - Convert temperature from fahrenheit to celsius and vice versa, - Set your measure system that suit your tools,Data for conversions gathered after a long research online. Preferred Sources were professional blog or sites.,Credit:,Icons made by Freepik from www.flaticon.com is licensed by CC 3.0 BY",,,http://www.bakingconverter.com,https://play-lh.googleusercontent.com/9gDQQnOfYgnHXB_8Pz1HIjL7h8NUbLArrjIZdq6NS5-VqJwiWnvDvMSX-0iLnOCxc-F4=s180-rw,"50,000+",Converter for Baking,https://play.google.com/store/apps/details?id=com.elelad.bconverter,com.elelad.bconverter,Rated 3.4 stars out of five stars,78,2.5M,"March 1, 2017",1
dopteams,,Education,4.4 and up,Rated for 3+,"Set of 450 exam questions for automobile gplx B2, B1, C, D, E and gplx exam review for motorcycles A1, A2, A3, A4,","- Ứng dụng bao gồm đầy dủ 450 câu hỏi ôn thi gplx dùng cho sát hạch, cấp giấy phép lái xe cơ giới đường bộ các loại bằng A1,A2,A3,A4,B1,B2,C,D,E,F,- Câu hỏi ôn thi gplx được chia theo từng nhóm rõ ràng: ,   + Khái niệm và quy tắc giao thông đường bộ.,   + Nghiệp vụ vận tải.,   + Văn hoá và đạo đức nghề nghiệp người lái xe.,   + Kỹ thuật lái xe ô tô.,   + Cấu tạo và sửa chữa xe ô tô.,   + Hệ thống biển báo hiệu đường bộ.,   + Giải các thế sa hình.,- Học và kiểm tra kết quả tức thì, giải thích kết quả chi tiết và mẹo làm bài cho từng câu hỏi.,- Ôn thi gplx sát với đề thi thực tế, kiếm tra kết quả đậu hoặc rớt nhanh với bộ đề chính xác.,- Tổng hợp các loại biển báo giao thông đường bộ.",,,http://amidu.info/,https://play-lh.googleusercontent.com/JC4cL-B40fjJIgy3P0_oLdc_eGQiGT-_4vkxkGYFfS912V_vT9K13BnHomWkVp9OVnCw=s180-rw,"10,000+",Ôn thi giấy phép lái xe - Ôn Thi GPLX,https://play.google.com/store/apps/details?id=com.dopelearning.onthi.gplx,com.dopelearning.onthi.gplx,Rated 4.7 stars out of five stars,100,24M,"October 18, 2019",1.5
ABI Global LTD,,Casual,5.0 and up,Rated for 7+,"Swift as Ninja Stickman, shoot as pro Archer",", we need your help! ,The criminal organizations are expanding their power and endangering the good people, only you can help them. Get ready to play the role of an assassin that invades the underworld to destroy minions and gang bosses. All you need is a cold head and a flexible finger.,Timing and tap, it’s that simple, but this addictive gameplay brings you unique experience overcoming hundreds of level with full of challenges throughout the journey to triumph the reward.,An advanced roster of heroes with unique abilities and achievable stronger weapons make your character cooler than ever and even more confident in destroying enemies. Customize your character as you like it!,Stick Heroes: Arrow Master contains ragdoll physics stickman game engine, with super super minimalistic graphics and theater animations. No lags, no freezes, no crashes, all helps you enjoy the game without any inconveniences. ,Log in via Facebook, invite your friends, challenge them and become a Parking Master on worldwide leaderboards. But don’t forget your Throne is at stake, targeted by millions of daily player!,We are always working diligently to improve the quality of the game with many new levels and events that ensure you will really enjoy. Have you enjoyed the game yet? Enjoy the more exciting and exciting moments than ever and take some time to leave your comment.,Stick Heroes: Arrow Master  is a completely free game with some optional content to pay.,Thanks and see you again on our adventure!",,,https://abigames.com.vn/,https://play-lh.googleusercontent.com/4tOP46qtPnZFDNw9M3p9yvqKds3Ph1LeVP-C07NU8jCQsKW87xcAvNbmH_pF2ma7xPU=s180-rw,"500,000+",Stick Heroes: Arrow Master,https://play.google.com/store/apps/details?id=com.abigames.stick.heroes.archermaster,com.abigames.stick.heroes.archermaster,Rated 4.1 stars out of five stars,"1,467",93M,"September 24, 2020",1.0.8
android player,,Video Players & Editors,4.0 and up,Rated for 3+,"Video Player for Android, the easiest video player in the market.","Video Player for Android, the easiest video player in the market.,Video Player for Android is currently the easiest-to-use video player on the market. Its intelligent detection adaptive algorithm makes it more convenient for you to enjoy smoother, better quality videos. ,It supports all popular video formats, including AVI, 3GP, M4V, MOV, MP4, WMV, RMVB, MKV, TS, MPG, FLV, etc. It uses hardware decoding, which make video play smoother. It can automatically detect videos in the phone memory and SD Card, allowing you to quickly locate and play the video.,As a media player, Video Player for Android can not only play high-definition videos, movies and flash files, but also play music. So Video Player for Android can be used as a music player as well.,Video Player for Android is the essential software of android mobile phone. It is definitely your best partner when enjoying the movie!,Features:,1 automatic identifiy all mobile phone video files,2 supports all video and audio playback formats,3 supports multiple subtitle formats, automatic synchronization,4 using hardware decoding, take advantage of hardware acceleration,5 small memory, simple operation, quick start, smooth playback support,Enjoy it!,Dear users:,　There are hundreds kinds of Android phones/tablets in the world. We are always doing our best to make this app working better and easier on every device. But it is really very very hard job... So if you find any issues, please send email to us instead of useless comments or rating, we will try our best to help you!",,,mailto:androidplayor@gmail.com,https://play-lh.googleusercontent.com/s2AbtzLBqUp0Te1e4GqAj6elLdjGh9EYtZGubIyVkqSrTD5lAPJMhUZlYFxuhHhLug=s180-rw,"10,000,000+",Video Player for Android,https://play.google.com/store/apps/details?id=com.zgz.supervideo,com.zgz.supervideo,Rated 4.3 stars out of five stars,"461,317",11M,"October 10, 2019",8.4
Lion Studios,,Simulation,5.0 and up,Rated for 3+,Design your own earring art,"Can you handle the pain?,Become a piercing perfectionist and spread the bling!,Are you ready to experience your inner rebel? Ever wonder what it is like to get a piercing but your mom and dad said no? Wonder what you would look like with a piercing on your nose or lip? Now you can experience it all without feeling the pain! Fill in hundreds of different piercings and styles. Try to get the line up the requests as close as possible for them and don’t mess up! Get ready to feel the satisfaction of watching your needle slide right in! Relax and use your precision to point and aim the needle to make those holes. So many satisfying vibrations! Fun and easy to pick up but don’t miss a pierce... Will you be the first one to ring them all?,Hundreds of objects and styles for you to carefully size up, outline, design and pierce your customers. The final results will leave you feeling satisfied!,Game Features:,1. Simple but addicting mechanics,Feel the satisfaction without the pain? Customers will request what they want and it is up to you to match their desires,2. Run your own Piercing Parlor,Keep the customers coming. Whether it’s a heart, a zombie, or a skull, there are so many ear ring designs for you to give them.,3. Don’t miss,Ouch that hurts! Be careful of those soft spots,4. Feel the experience,Feel every stab with the best haptics experience there is.,Whether you like tattoos, needles or just want to pierce some people, Piercing Parlor will take you there. This is the best and most rewarding piercing simulation game there is. ,                                                                                                                                                                                                                                                                       ,Visit https://lionstudios.cc/contact-us/ if have any feedback, need help on beating a level or have any awesome ideas you would like to see in the game!,Follow us to get news and updates on our other Award Winning titles;,https://lionstudios.cc/,Facebook.com/LionStudios.cc,Instagram.com/LionStudioscc,Twitter.com/LionStudiosCC,Youtube.com/c/LionStudiosCC,!",,,https://lionstudios.cc/,https://play-lh.googleusercontent.com/ZmmtosyACVAd5DduqbNhN8mclOgk85J3OtCgmzKz6o6-PeFkgvLSiLZGx_gYZ531BM_J=s180-rw,"5,000,000+",Piercing Parlor,https://play.google.com/store/apps/details?id=com.mindstormstudios.piercingparlor,com.mindstormstudios.piercingparlor,Rated 3.7 stars out of five stars,"28,202",161M,"January 28, 2021",1.3.4
CookApps,,Puzzle,4.1 and up,Rated for 3+,Enjoy relaxing match 3 puzzle games together with lazy cat friend! 😺 😸 😹,"Did you ever wonder what's going on in the head of a lazy cat that sleeps all day? 🐱💤,My Lazy Cat's Dream Match is a completely free match 3 game that takes place in the dreamland of one of these furry friends! Enjoy relaxing healing time by solving matching games and watching your cute cat snore in his sleep!,Harry is a cute, chubby, and furry little cat who spends most of his day asleep and dreaming. When he sleeps, he dreams up the best match 3 puzzle games to enjoy! Over 1,000 brain tingling puzzles full of exciting combos and fun challenges! Why don't you sit back, get comfy, and join Harry on the happy journey into his cozy puzzle dreamland?,🧶 ,Everything's more powerful in a dream, and My Lazy Cat's Dream Match gives you the most powerful boosters of all! Swap, match, and blast four or more blocks to make a booster. As soon as you make it, it'll go off and explode in an exciting combo, just like other free match 3 games. But in Dream Match, that's not the end! You can use the booster one more time, thinking of your puzzle strategy!,Get rid of your stress by enjoying a new explosion every minute!,🧶 ,Your furry cat friend Harry has dreamt up more than 1,000 levels of tapping and matching fun! Dream Match follows the same basic match 3 logic that you know and love: Match 3 or more blocks to blast them from the playing field and earn points. The less moves you need to win, the closer you'll be to the high score!,My Lazy Cat's Dream Match had plenty of relaxing casual puzzle games fun for kids and the entire family!,🧶,The more levels you complete and the more you match your way through Harry's cozy dreamland, the more rewards you'll unlock! Other matching games might be greedy with the free rewards, but My Lazy Cat's Dream Match isn't! Any reward that Harry can dream up, he'll give to you, so don't miss the free gifts he prepared for you!,🧶 ,Did you ever get tired of playing other matching games because you got stuck on one super difficult level? Don't worry! If a level is too difficult or challenging for you, we'll help you clear it more easily! Because after all, match 3 puzzle games are supposed to be comfy and fun games for kids and make the whole family happy.,Whether you are a puzzle games master or new to match 3 games, My Lazy Cat's Dream Match has lots of fun challenges and happy puzzle moments for you!,My Lazy Cat's Dream Match is the happy, cozy, and cute relaxing match 3 puzzle game you've been looking for!,Enjoy exciting explosions, furry friends, and casual puzzle fun by jumping into the cute and relaxing dreamland of lazy Harry and discover a world of puzzles that defies your imagination!",,,http://www.cookapps.com,https://play-lh.googleusercontent.com/GqxZx18UAgyH-KpAOnzkUy18CN4zIF_cMeL5YUe17zh_70kdpTnEnaw4QD6YEEX4m6o=s180-rw,"10,000+",Lazy Cat Dream Match - Happy & Cozy Matching Games,https://play.google.com/store/apps/details?id=com.cookapps.dreammatch,com.cookapps.dreammatch,Rated 4.3 stars out of five stars,625,37M,"December 18, 2019",1.0.6
MMO - Official Channel,,Music & Audio,4.0 and up,Rated for 3+,Dam Vinh Hung Best RingTones: Free ringtone application.,"Bạn đang tìm kiếm nhạc chuông mới cho điện thoại của mình, Bạn yêu thích Đàm Vĩnh Hưng, bạn muốn sở hữu những hit nhạc chuông hay nhất của Đàm Vĩnh Hưng để tạo sự khác biệt cho điện thoại và thỏa mãn đam mê âm nhạc của bạn.,Đàm Vĩnh Hưng Best RingTones là một lựa chọn tuyệt vời cho bạn. Với các bài hát hay nhất của Đàm Vĩnh Hưng, Bạn có thể tải nhạc chuông và cài đặt nhạc chuông mặc định cho điện thoại của bạn.,Bạn có thể dễ dàng tìm kiếm những bản nhạc chuông hay nhất của Đàm Vĩnh Hưng bằng ứng dụng Đàm Vĩnh Hưng Best RingTones hoàn toàn miễn phí của chúng tôi. Với ứng dụng của chúng tôi thiết bị của bạn sẽ trở thành một niềm vui và cảm hứng thực sự.,Nếu sản phẩm nào của chúng tôi có bài hát nào vi phạm bản quyền, bạn vui lòng liên hệ với chúng tôi để được gỡ bỏ một cách nhanh chóng nhất. Ngoài ra chúng tôi sẽ rất vui khi được nghe từ bạn những ý kiến đóng góp để hoàn thiện ứng dụng về tính năng và cấu hình một cách phù hợp và dễ sử dụng nhất.,Đừng quên Comments cảm xúc của bạn về ứng dụng Đàm Vĩnh Hưng Best RingTones và ủng hộ 5 sao để chúng tôi phát triển những ứng dụng mới trong tương lai nhé.",,,https://ringringxstore.blogspot.com,https://play-lh.googleusercontent.com/GPe-klTGgPkK-rBlGFcFIkf6d-5ckOPTG1NSO3s7PBXjdEa8jGiVlAoR_kbbVXhhwk-Y=s180-rw,500+,Đàm Vĩnh Hưng Best RingTones,https://play.google.com/store/apps/details?id=com.ringringx.damvinhhungmusicperfect,com.ringringx.damvinhhungmusicperfect,Rated 4.2 stars out of five stars,,17M,"October 13, 2019",1.0.110
HaDoSolution,,Entertainment,4.1 and up,Rated for 3+,"Nostalgia lyrics archive word entries necklace, opera excerpts, amateur","Lời bài hát Vọng cổ,----------------------,Ứng dụng lưu trữ hơn 1150 bài hát và cho phép tra cứu lời các bài vọng cổ, trích đoạn cải lương, các bài bản tài tử, điệu lý.,Chức năng:,    * Tìm kiếm bài hát theo nhiều tiêu chí (tựa bài hát, tên tác giả, lời bài hát, tên bài hát viết tắt...) và cho phép tìm theo tiếng việt có dấu hoặc không dấu,    * Đánh dấu bài hát yêu thích.,    * Sao lưu và phục hồi bài hát yêu thích vào SdCard (Tệp sao lưu nằm ở thư mục gốc của SdCard),    * Không tắt màn hình khi xem chi tiết.,    * và một số tính năng khác,Ngoài ra các bạn có thể yêu cầu hoặc đóng góp lời bài hát để tích hợp vào ứng theo địa chỉ email bên dưới.,Ứng dụng đang trong quá trình hoàn thiện về mặt nội dung và hình thức. Rất mong nhận được góp ý từ phía người dùng để chúng tôi có thể hoàn thiện hơn trong các lần cập nhật tới.,Mọi góp ý về ứng dụng, vui lòng email về hadosolution@gmail.com",,,mailto:hadosolution@gmail.com,https://play-lh.googleusercontent.com/CkZzPFJGvB9pt9SNbPj-H4eNtMCWRh7dxkj_kpSBM-4p7DQZVo-lOld9InN5R6cm5A=s180-rw,"100,000+",Lời bài hát Vọng cổ,https://play.google.com/store/apps/details?id=com.hadoso.android.lvc,com.hadoso.android.lvc,Rated 4.3 stars out of five stars,623,11M,"October 26, 2019",2.5.24
Evansir,,Tools,4.4 and up,Rated for 3+,Intuitive XML viewer with in-build converter to PDF. Open & read your XML files,"Need an opener for .xml file? Use XML Viewer to read saved files. Intuitive tool what helps in your workflow. ,XML Viewer features:,▪︎ Open .xml files like on PC,▪︎ Convert XML to pdf,▪︎ In-build file manager that shows only supported files,▪︎ History of viewed files,▪︎ Comfortable XML view screen,▪︎ All text is selectable (copy, share),Have you downloaded an important XML document from the Internet and don’t know how to open it? No problem! Go into the XML Viewer, navigate to the directory where you saved the file and tap on it. The app will open the selected file and automatically add it to the history.,The app can open any files with the extension .xml. You do not need additional tools or programs, because everything is already here. We can truly say: It's a real XML opener.,Need to convert XML to pdf or print? No problem, open the file in the application and click on the icon with the same name. It remains only to select the paper size and save the resulting file.,Have troubles with in-build in XML Viewer file explorer or can't open OTG USB? Use system default to navigate and open the desired file. Just enable checkbox on the bottom of the screen and tap the Explore button.,If you are tired of looking for your files among many others on the phone’s memory, the application will help with this, because it only shows files with the .xml extension.,The main screen contains the last opened files list, so you will never lose the path to your files. XML Viewer will save it for you. One-click and you will open it, without annoying folder by folder search.,XML Viewer easily opens any of the available eXtensible Markup Language files. Just point it where the file stored and app will reveal the content of it.,The application has dark tones that are pleasant to the eye, which will not distract you from reading the xml file.,Feel free to send your suggestions and wishes about the XML Viewer - Reader & Opener using the contact form with the developer",,,mailto:kvazios@gmail.com,https://play-lh.googleusercontent.com/-sL9PjO34V-JAbjBQdVG14J95yLhhuxpDuJbjZ45I4BPTKCrCcqA2G8e3e9cHNs_2xE=s180-rw,"100,000+",XML Viewer - Reader and Opener,https://play.google.com/store/apps/details?id=evansir.xmlviewer,evansir.xmlviewer,Rated 2.7 stars out of five stars,354,3.2M,"April 14, 2021",1.8
NHTMCP Đầu tư và Phát triển Việt Nam (BIDV),,Health & Fitness,5.0 and up,Rated for 3+,Application recording to run BIDV RUN,"BIDV RUN là ứng dụng công nghệ miễn phí do BIDV xây dựng. ,BIDV RUN ghi nhận kết quả các giải chạy online do BIDV tổ chức thông qua ứng dụng phần mềm thể thao Strava. Đồng thời xây dựng cộng đồng nhằm kết nối những người có chung niềm đam mê dành cho bộ môn chạy bộ.,Các tính năng chính của BIDV RUN: ,- Ghi lại kết quả quá trình tập luyện: Mỗi cuộc tập luyện hàng ngày đều được ghi lại với các chỉ số về thời gian, tốc độ, quãng đường,… thông qua ứng dụng phần mềm thể thao Strava,- Tham gia và kết nối với cộng đồng yêu thể thao: Chia sẻ các hoạt động hàng ngày với bạn bè, theo dõi, kết bạn, tham gia vào các đội ngay trên ứng dụng,- Đóng góp cho hoạt động an sinh xã hội của cộng đồng: Tham gia các sự kiện chạy bộ do BIDV tổ chức như Giải chạy “Tết ấm cho người nghèo năm 2021” để quy đổi thành tích thành tiền đóng góp,Tải ứng dụng ngay bây giờ và bắt đầu quá trình nâng cao sức khỏe của chính mình, cùng lan tỏa thông điệp giàu tính nhân văn “Triệu trái tim – Chung nhịp chạy”.,Liên hệ với chúng qua các kênh:,- Website: www.BIDVrun.com,- Fanpage: https://www.facebook.com/BIDVTetAmChoNguoiNgheo",,,https://www.BIDVrun.com,https://play-lh.googleusercontent.com/x0iDU3aiR3ZSUMTSnW64nRR0qLRyxj-MM79FUgTMKcZKu3lvyPsFUUbC7Y41ijux7vLW=s180-rw,"10,000+",BIDV Run,https://play.google.com/store/apps/details?id=vn.com.bidv.bidvrun,vn.com.bidv.bidvrun,Rated 3.7 stars out of five stars,196,40M,"May 26, 2021",1.0
Generali Vietnam Life Insurance Ltd Liability,,Business,4.1 and up,Rated for 3+,Review the BHNT consultant exam,"Ứng dụng hỗ trợ bạn ôn tập để sẵn sàng cho kỳ thi trở thành tư vấn viên bảo hiểm chuyên nghiệp với nhiều tính năng tiện dụng:,- Nhanh chóng học kiến thức bảo hiểm nhân thọ ở tất cả các chủ đề,- Dễ dàng ôn tập, ghi nhớ nội dung đã học theo từng chủ đề,- Thử thách chính mình qua bài thi thử với 40 câu hỏi ngẫu nhiên như kỳ thi thật và biết ngay kết quả",,,https://www.generali-life.com.vn,https://play-lh.googleusercontent.com/zbtMetYAqJZmp6CnZborDi0hI9DLtYb5eZmPJ2SwdIe0cjeHM24B2KU649NEANwks-ER=s180-rw,"5,000+",GEN Luyện Thi,https://play.google.com/store/apps/details?id=com.generali.gen.luyenthi,com.generali.gen.luyenthi,Rated 3.8 stars out of five stars,20,31M,"July 3, 2019",1.0.1
iDea  - MOIT,,Shopping,4.1 and up,Rated for 3+,ONLINE FRIDAY - ONLINE SHOPPING DAY 2020,"Chương trình Ngày mua sắm trực tuyến Việt Nam – Online Friday được Chính phủ giao Bộ Công Thương chủ trì, phối hợp cùng các cơ quan, đơn vị có liên quan tổ chức Chương trình Giai đoạn I từ 2014 – 2020 với mục tiêu xây dựng một ngày hội mua sắm trực tuyến lớn nhất hàng năm của Việt Nam, đem lại những lợi ích thiết thực cho người tiêu dùng khi tham gia mua sắm, xây dựng một liên kết chặt chẽ, bền vững giữa cộng đồng doanh nghiệp từ nhà sản xuất, nhà phân phối đến các đơn vị cung ứng dịch vụ hạ tầng cho thương mại điện tử",,,http://idea.gov.vn,https://play-lh.googleusercontent.com/Ku63qo59KypZI2Nqp-l1caK_HAYKL1r6yhvX8-IrXoW3meBwPY7G_F6dSeGDtuK8Pw=s180-rw,"10,000+",Online Friday,https://play.google.com/store/apps/details?id=com.app.onlinefriday,com.app.onlinefriday,Rated 2.6 stars out of five stars,153,39M,"December 4, 2020",3.1.7
Buatin,,Sports,4.1 and up,Rated for 3+,2020 Billiard Master Pro (Offline) Free game can be played anytime & anywhere.,"2020 Billiard Master Pro (Offline) Free game application that can be played anytime & anywhere.,Don't miss it Install Now!,The Challenge play mode will give you increasing levels of difficulty. In this mode, you must count all balls in a limited number of shots.,This puzzle collection mode will discuss your intelligence and your abilities with gestures!,You don't have to be a pro player to have an amazingly fun game. Just set the game to the usual settings and enjoy it.,Game Mode:,=> Level,you will play in tutorial mode with multiple levels. After the tutorial mode is complete you will be assigned to enter the target ball with the tricks that have been taught.,=> Single,In single game mode, you will only face computers with difficulty levels ranging from easy, medium and hard. In this billiard game mode there is no time limit, you are free to decide which strategy you will use.,=> On line,Play billiards in online mode, find tough opponents and beat them.,=> 8-Ball,=> 9-Ball,=> Snooker,Feature:,- Play for free,- Free premium sticks,- real 3D graphics,- Shot rotated for extra control,- Easy, Normal, Hard Challenge Levels,- various gameplay simulations,- Versus Com & Pratice Mode,- Free Premium Skin Table,- Several levels of AI difficulty,- And much more,Give a 5 star rating & comment this game / application, so that it can help us to continue to develop this game / application.,You can spend education that is rotated to more appropriate education. Making these extra complicated shots will require nerves of steel as in professional snooker matches.,Practice in the game and you will see how your real life will improve too.,You will soon become a pro player!,This game is also commonly called billiards, snooker, pool,Games are completely free so download now and do it!",,,https://buatindeveloper.blogspot.com/,https://play-lh.googleusercontent.com/aHp6RHzlXm9wTaR_rjmDUROAgNFED_do8LraMy-ARzhUb8sm7FcooN3ix-jFs9_e6lg=s180-rw,"100,000+",2020 Billiard Master Pro (Offline),https://play.google.com/store/apps/details?id=com.buatin.billiardmasteroffline,com.buatin.billiardmasteroffline,Rated 4.3 stars out of five stars,"1,168",25M,"September 4, 2020",7.0
ZENAAD,,Arcade,4.4 and up,Rated for 3+,Arcade game with simple one-hand controls,"Mysterious worlds full of adventures await you.,You must withstand the onslaught of the demons and survive!,Combine unique abilities to make each session special.,=================================================,[Game Features],* Enjoy the simplicity of the controls!,* Combine random abilities to make every battle unpredictable!,* Try and win at a higher level of difficulty!,* Expand your collection of characters!,* Enhance your equipment and become the best!,=================================================",,,https://apps.zenaad.com,https://play-lh.googleusercontent.com/0pAgEOGoINanyIXoyyVBuluNN4bdx8tn_h09Af0kLPYUMY7sCiMpJszasdJMrGC6QQ4=s180-rw,"10,000+",Legendary Archer : Rebirth,https://play.google.com/store/apps/details?id=com.haste.archer,com.haste.archer,Rated 3.9 stars out of five stars,565,94M,"September 9, 2020",2.1.7
4Enjoy Game,,Puzzle,4.4 and up,Rated for 3+,Build the zoo and rescue animals! A lot of unique levels!,"Help zookeeper Robert to repair the zoo. Collect and match fruits together to feed hungry animals. You will create a home for the lion, zebra, elephant and other animals. Will your pets be hungry in the zoo you build? Play match 3 levels to open new decors and areas. ,The zoo is located in a sweet place. There is a farm nearby and a great forest just outside of the zoo. There was also a fruit garden which once was a diamond of the zoo. The game has a complete simulator of the zoo and animals. After you have finished building of the area you will be able to interact with animals and world sim.,Tigers, zebras, hippopotamus and other animals will help you to build a new zoo during your saga. Rescue the animals and the zoo from the decline. Turn the zoo into the diamond. The zoo and garden has a lot of activities. Plant new trees, choose a decor garden.,The game has a lot of levels. Match the sweet fruits and create bomb exposition. Feed the hungry pets with all the tasty and eco berries, fruits and vegetables. Maybe animals like more cookies and fruit jelly? The tricky monkey will try to steal the keys. Stop the animal with jam, fruits or juice. ,Invite your friends to join the adventure. Decorate the zoo faster with the help of friends. Enjoy the zoo saga together with friends.,How will the zoo you build look? Like a farm or like a forest? Will be pets and animals hungry or happy? Do you have mania to rescue the zoo and animals? Start building your dream zoo now! The zoo needs an rescue!,Fresh Features,- 100% organic fruits!,- Simulator of a real zoo!,- Choose a decor while building zoo,- Compete with friends during adventure!,Rescue animals in the zoo!",,,https://4enjoy.com/,https://play-lh.googleusercontent.com/hf-ZLeKmrsQhB_ak2-scAGGPkPnzXBwZP7vzkEp757nnsemxLs9W9pWoE3qAuLJFi9Jr=s180-rw,"1,000,000+",Zoo Rescue: Match 3 & Animals,https://play.google.com/store/apps/details?id=zoo.rescue,zoo.rescue,Rated 4.3 stars out of five stars,"40,758",Varies with device,"March 26, 2021",Varies with device
